"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useCustomAlert.ts", "TypeScript", 191, 0, 0, 0, 0, 0, 0, 19, 18, 228
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useSignOut.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useSocialAuth.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 13, 71
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useTheme.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 14, 6, 60
"/home/anonymous/Documents/Projects/SkillHive-mobile/lib/supabase.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 3, 6, 45
"/home/anonymous/Documents/Projects/SkillHive-mobile/package-lock.json", "JSON", 0, 0, 0, 13480, 0, 0, 0, 0, 1, 13481
"/home/anonymous/Documents/Projects/SkillHive-mobile/package.json", "JSON", 0, 0, 0, 61, 0, 0, 0, 0, 1, 62
"/home/anonymous/Documents/Projects/SkillHive-mobile/tsconfig.json", "JSON with Comments", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/home/anonymous/Documents/Projects/SkillHive-mobile/types/index.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 32, 10, 129
"/home/anonymous/Documents/Projects/SkillHive-mobile/utils/formatter.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 9, 11, 75
"Total", "-", 830, 8, 82, 13541, 3445, 31, 8, 338, 472, 18755
